,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
92,Levante,26,26.3,45.7,38,418,"3,420",38.0,56,39,51,5,7,107,7,1.47,1.03,2.50,1.34,2.37,53.9,48.4,38.5,86.9,1.42,1.01,2.43,1.27,2.29
93,Rayo Vallecano,29,26.6,48.7,38,418,"3,420",38.0,40,24,35,5,5,101,8,1.05,0.63,1.68,0.92,1.55,48.7,44.8,33.0,77.7,1.28,0.87,2.15,1.18,2.05
94,Real Madrid,27,27.1,60.1,38,418,"3,420",38.0,61,39,52,9,9,79,6,1.61,1.03,2.63,1.37,2.39,66.7,60.2,49.9,110.1,1.76,1.31,3.07,1.58,2.90
95,Real Sociedad,30,24.9,51.7,38,418,"3,420",38.0,44,27,36,8,10,80,4,1.16,0.71,1.87,0.95,1.66,49.7,42.2,33.0,75.2,1.31,0.87,2.18,1.11,1.98
96,Sevilla,27,27.9,52.3,38,418,"3,420",38.0,60,47,55,5,6,114,6,1.58,1.24,2.82,1.45,2.68,66.6,61.8,49.3,111.1,1.75,1.30,3.05,1.63,2.92
97,Valencia,25,26.4,47.1,38,418,"3,420",38.0,50,38,45,5,7,88,3,1.32,1.00,2.32,1.18,2.18,60.7,55.2,46.7,101.9,1.60,1.23,2.83,1.45,2.68
98,Valladolid,28,27.4,46.8,38,418,"3,420",38.0,31,19,27,4,7,92,0,0.82,0.50,1.32,0.71,1.21,41.1,35.6,26.7,62.3,1.08,0.70,1.78,0.94,1.64
99,Villarreal,26,27.1,48.3,38,418,"3,420",38.0,47,34,44,3,6,115,3,1.24,0.89,2.13,1.16,2.05,53.9,50.0,39.0,89.0,1.42,1.03,2.45,1.31,2.34
100,Alavés,30,25.5,40.3,38,418,"3,420",38.0,40,31,39,1,3,105,4,1.05,0.82,1.87,1.03,1.84,38.5,36.1,27.7,63.8,1.01,0.73,1.74,0.95,1.68
101,Athletic Club,26,26.7,49.6,38,418,"3,420",38.0,39,25,33,6,8,93,0,1.03,0.66,1.68,0.87,1.53,49.7,43.8,33.7,77.5,1.31,0.89,2.19,1.15,2.04
102,Atlético Madrid,26,26.6,47.5,38,418,"3,420",38.0,57,41,53,4,5,93,5,1.50,1.08,2.58,1.39,2.47,50.2,46.3,36.6,82.9,1.32,0.96,2.28,1.22,2.18
103,Barcelona,25,27.7,62.8,38,418,"3,420",38.0,96,74,93,3,5,67,2,2.53,1.95,4.47,2.45,4.39,83.5,80.1,64.6,144.7,2.20,1.70,3.90,2.11,3.81
104,Betis,29,27.1,56.9,38,418,"3,420",38.0,56,43,54,2,3,90,3,1.47,1.13,2.61,1.42,2.55,46.0,43.7,35.2,78.9,1.21,0.93,2.14,1.15,2.08
105,Celta Vigo,23,25.7,55.7,38,418,"3,420",38.0,57,45,55,2,3,85,1,1.50,1.18,2.68,1.45,2.63,55.0,52.6,43.0,95.6,1.45,1.13,2.58,1.39,2.52
106,Eibar,27,27.4,52.0,38,418,"3,420",38.0,43,31,41,2,3,84,3,1.13,0.82,1.95,1.08,1.89,40.9,38.6,30.2,68.8,1.08,0.79,1.87,1.02,1.81
107,Espanyol,25,26.8,46.9,38,418,"3,420",38.0,33,24,31,2,3,87,1,0.87,0.63,1.50,0.82,1.45,41.1,38.6,27.8,66.4,1.08,0.73,1.81,1.02,1.75
108,Getafe,32,28.2,40.2,38,418,"3,420",38.0,41,27,36,5,12,130,5,1.08,0.71,1.79,0.95,1.66,48.2,38.6,29.6,68.2,1.27,0.78,2.05,1.02,1.79
109,Girona,25,26.3,46.8,38,418,"3,420",38.0,50,31,44,6,8,102,0,1.32,0.82,2.13,1.16,1.97,50.6,44.4,34.4,78.8,1.33,0.90,2.24,1.17,2.07
110,La Coruña,32,28.2,46.8,38,418,"3,420",38.0,38,30,35,3,5,99,2,1.00,0.79,1.79,0.92,1.71,51.6,47.7,40.0,87.7,1.36,1.05,2.41,1.25,2.31
111,Las Palmas,36,27.0,54.7,38,418,"3,420",38.0,24,15,18,6,8,88,3,0.63,0.39,1.03,0.47,0.87,38.5,32.3,24.8,57.1,1.01,0.65,1.66,0.85,1.50
112,Leganés,28,27.8,43.0,38,418,"3,420",38.0,32,23,30,2,3,102,5,0.84,0.61,1.45,0.79,1.39,39.9,37.6,30.0,67.6,1.05,0.79,1.84,0.99,1.78
113,Levante,33,25.7,42.8,38,418,"3,420",38.0,43,28,38,5,5,108,6,1.13,0.74,1.87,1.00,1.74,44.7,40.8,31.8,72.7,1.18,0.84,2.02,1.07,1.91
114,Málaga,37,27.2,44.1,38,418,"3,420",38.0,23,15,19,4,6,99,8,0.61,0.39,1.00,0.50,0.89,38.4,33.7,26.3,60.0,1.01,0.69,1.70,0.89,1.58
115,Real Madrid,24,27.1,60.2,38,418,"3,420",38.0,91,65,83,8,10,65,4,2.39,1.71,4.11,2.18,3.89,85.4,77.5,62.8,140.2,2.25,1.65,3.90,2.04,3.69
116,Real Sociedad,27,25.9,56.5,38,418,"3,420",38.0,64,47,60,4,5,60,5,1.68,1.24,2.92,1.58,2.82,53.7,49.7,38.9,88.7,1.41,1.02,2.44,1.31,2.33
117,Sevilla,31,27.1,54.3,38,418,"3,420",38.0,48,35,44,4,5,97,3,1.26,0.92,2.18,1.16,2.08,59.5,55.7,42.8,98.5,1.57,1.13,2.69,1.47,2.59
118,Valencia,25,24.8,48.6,38,418,"3,420",38.0,63,45,55,8,8,103,5,1.66,1.18,2.84,1.45,2.63,56.0,49.8,39.9,89.7,1.47,1.05,2.52,1.31,2.36
119,Villarreal,32,26.6,50.4,38,418,"3,420",38.0,56,45,52,4,5,113,6,1.47,1.18,2.66,1.37,2.55,53.2,49.3,42.0,91.3,1.40,1.11,2.51,1.30,2.40
120,Alavés,25,25.4,44.4,38,418,"3,420",38.0,41,27,37,4,4,117,5,1.08,0.71,1.79,0.97,1.68,,,,,,,,,
121,Athletic Club,25,26.8,51.1,38,418,"3,420",38.0,53,31,45,8,8,88,2,1.39,0.82,2.21,1.18,2.00,,,,,,,,,
122,Atlético Madrid,22,26.9,48.4,38,418,"3,420",38.0,70,54,68,2,7,82,3,1.84,1.42,3.26,1.79,3.21,,,,,,,,,
123,Barcelona,25,26.9,66.1,38,418,"3,420",38.0,113,71,105,8,9,74,1,2.97,1.87,4.84,2.76,4.63,,,,,,,,,
124,Betis,27,26.1,47.9,38,418,"3,420",38.0,41,27,39,2,2,103,5,1.08,0.71,1.79,1.03,1.74,,,,,,,,,
125,Celta Vigo,27,26.1,53.2,38,418,"3,420",38.0,52,33,45,7,7,105,8,1.37,0.87,2.24,1.18,2.05,,,,,,,,,
126,Eibar,24,26.9,47.8,38,418,"3,420",38.0,53,34,47,6,8,94,7,1.39,0.89,2.29,1.24,2.13,,,,,,,,,
127,Espanyol,27,27.2,44.0,38,418,"3,420",38.0,48,36,46,2,4,80,2,1.26,0.95,2.21,1.21,2.16,,,,,,,,,
128,Granada,35,24.7,45.1,38,418,"3,420",38.0,30,19,30,0,1,112,6,0.79,0.50,1.29,0.79,1.29,,,,,,,,,
129,La Coruña,28,27.7,47.0,38,418,"3,420",38.0,42,29,39,3,7,95,4,1.11,0.76,1.87,1.03,1.79,,,,,,,,,
130,Las Palmas,29,27.3,59.0,38,418,"3,420",38.0,52,34,46,6,6,102,6,1.37,0.89,2.26,1.21,2.11,,,,,,,,,
131,Leganés,31,26.3,44.7,38,418,"3,420",38.0,36,24,33,3,4,106,3,0.95,0.63,1.58,0.87,1.50,,,,,,,,,
132,Málaga,29,26.0,48.4,38,418,"3,420",38.0,48,33,45,3,5,111,7,1.26,0.87,2.13,1.18,2.05,,,,,,,,,
133,Osasuna,35,26.3,39.0,38,418,"3,420",38.0,37,24,33,4,6,99,3,0.97,0.63,1.61,0.87,1.50,,,,,,,,,
134,Real Madrid,24,27.0,56.2,38,419,"3,420",38.0,106,83,100,6,8,76,2,2.79,2.18,4.97,2.63,4.82,,,,,,,,,
135,Real Sociedad,27,26.0,56.7,38,418,"3,420",38.0,56,39,49,7,8,84,6,1.47,1.03,2.50,1.29,2.32,,,,,,,,,
136,Sevilla,28,26.8,59.2,38,418,"3,420",38.0,67,48,64,3,5,107,4,1.76,1.26,3.03,1.68,2.95,,,,,,,,,
137,Sporting Gijón,29,26.4,44.4,38,418,"3,420",38.0,42,26,38,4,7,114,4,1.11,0.68,1.79,1.00,1.68,,,,,,,,,
138,Valencia,31,25.9,48.8,38,418,"3,420",38.0,53,38,49,4,6,111,6,1.39,1.00,2.39,1.29,2.29,,,,,,,,,
139,Villarreal,27,26.7,49.3,38,418,"3,420",38.0,55,36,49,6,8,90,4,1.45,0.95,2.39,1.29,2.24,,,,,,,,,
140,Athletic Club,25,27.7,49.9,38,418,"3,420",38.0,57,42,54,3,5,86,6,1.50,1.11,2.61,1.42,2.53,,,,,,,,,
141,Atlético Madrid,25,25.9,48.5,38,418,"3,420",38.0,62,47,61,1,2,94,3,1.63,1.24,2.87,1.61,2.84,,,,,,,,,
142,Barcelona,25,28.0,67.1,38,418,"3,420",38.0,109,74,98,11,19,67,1,2.87,1.95,4.82,2.58,4.53,,,,,,,,,
143,Betis,29,27.4,46.7,38,418,"3,420",38.0,34,25,31,3,4,114,5,0.89,0.66,1.55,0.82,1.47,,,,,,,,,
144,Celta Vigo,27,26.1,56.4,38,418,"3,420",38.0,50,41,46,4,5,115,8,1.32,1.08,2.39,1.21,2.29,,,,,,,,,
145,Eibar,28,25.6,45.2,38,419,"3,420",38.0,47,31,41,6,8,108,4,1.24,0.82,2.05,1.08,1.89,,,,,,,,,
146,Espanyol,26,24.9,46.2,38,418,"3,420",38.0,38,29,37,1,3,132,5,1.00,0.76,1.76,0.97,1.74,,,,,,,,,
147,Getafe,27,26.7,46.1,38,418,"3,420",38.0,36,31,35,1,2,129,6,0.95,0.82,1.76,0.92,1.74,,,,,,,,,
148,Granada,28,25.9,44.6,38,418,"3,420",38.0,45,26,38,7,7,141,7,1.18,0.68,1.87,1.00,1.68,,,,,,,,,
149,La Coruña,25,28.2,47.1,38,418,"3,420",38.0,41,31,40,1,1,86,4,1.08,0.82,1.89,1.05,1.87,,,,,,,,,
150,Las Palmas,27,27.6,54.6,38,418,"3,420",38.0,42,31,38,4,5,100,4,1.11,0.82,1.92,1.00,1.82,,,,,,,,,
151,Levante,27,27.2,45.9,38,418,"3,420",38.0,36,23,34,2,2,134,7,0.95,0.61,1.55,0.89,1.50,,,,,,,,,
152,Málaga,30,28.0,48.8,38,418,"3,420",38.0,37,27,35,2,4,110,5,0.97,0.71,1.68,0.92,1.63,,,,,,,,,
153,Rayo Vallecano,29,28.5,55.6,38,418,"3,420",38.0,52,38,50,2,3,115,10,1.37,1.00,2.37,1.32,2.32,,,,,,,,,
154,Real Madrid,24,26.5,57.3,38,418,"3,420",38.0,108,86,102,6,9,75,5,2.84,2.26,5.11,2.68,4.95,,,,,,,,,
155,Real Sociedad,27,25.3,51.8,38,418,"3,420",38.0,44,31,43,1,1,109,5,1.16,0.82,1.97,1.13,1.95,,,,,,,,,
156,Sevilla,33,26.9,50.0,38,418,"3,420",38.0,50,35,44,6,7,106,8,1.32,0.92,2.24,1.16,2.08,,,,,,,,,
157,Sporting Gijón,28,24.5,43.1,38,418,"3,420",38.0,39,29,38,1,2,107,6,1.03,0.76,1.79,1.00,1.76,,,,,,,,,
158,Valencia,30,24.7,50.1,38,419,"3,420",38.0,42,27,38,4,5,110,7,1.11,0.71,1.82,1.00,1.71,,,,,,,,,
159,Villarreal,26,25.3,45.9,38,418,"3,420",38.0,42,32,39,3,3,103,4,1.11,0.84,1.95,1.03,1.87,,,,,,,,,
160,Almería,27,26.1,46.4,38,418,"3,420",38.0,33,22,28,5,6,0,0,0.87,0.58,1.45,0.74,1.32,,,,,,,,,
161,Athletic Club,26,26.8,53.2,38,418,"3,420",38.0,41,26,36,5,5,0,0,1.08,0.68,1.76,0.95,1.63,,,,,,,,,
162,Atlético Madrid,25,27.5,48.6,38,418,"3,420",38.0,65,48,60,5,6,0,0,1.71,1.26,2.97,1.58,2.84,,,,,,,,,
163,Barcelona,24,27.7,65.7,38,418,"3,420",38.0,107,79,101,6,7,0,0,2.82,2.08,4.89,2.66,4.74,,,,,,,,,
164,Celta Vigo,23,26.3,55.9,38,418,"3,420",38.0,47,33,43,4,6,0,0,1.24,0.87,2.11,1.13,2.00,,,,,,,,,
165,Córdoba,33,25.7,45.9,38,418,"3,420",38.0,21,12,19,2,3,0,0,0.55,0.32,0.87,0.50,0.82,,,,,,,,,
166,Eibar,23,27.6,43.8,38,418,"3,420",38.0,33,25,31,2,2,0,0,0.87,0.66,1.53,0.82,1.47,,,,,,,,,
167,Elche,24,26.3,47.9,38,418,"3,420",38.0,35,25,31,4,7,0,0,0.92,0.66,1.58,0.82,1.47,,,,,,,,,
168,Espanyol,27,26.9,46.0,38,418,"3,420",38.0,47,29,43,4,4,0,0,1.24,0.76,2.00,1.13,1.89,,,,,,,,,
169,Getafe,27,26.9,46.9,38,418,"3,420",38.0,32,25,31,1,2,0,0,0.84,0.66,1.50,0.82,1.47,,,,,,,,,
170,Granada,34,26.6,47.4,38,418,"3,420",38.0,29,17,23,6,6,0,0,0.76,0.45,1.21,0.61,1.05,,,,,,,,,
171,La Coruña,27,26.9,48.4,38,418,"3,420",38.0,33,17,29,4,7,0,0,0.87,0.45,1.32,0.76,1.21,,,,,,,,,
172,Levante,29,28.0,44.5,38,418,"3,420",38.0,34,22,31,3,4,0,0,0.89,0.58,1.47,0.82,1.39,,,,,,,,,
173,Málaga,23,26.6,49.5,38,418,"3,420",38.0,40,27,36,4,7,0,0,1.05,0.71,1.76,0.95,1.66,,,,,,,,,
174,Rayo Vallecano,28,27.2,54.8,38,418,"3,420",38.0,46,33,44,2,3,0,0,1.21,0.87,2.08,1.16,2.03,,,,,,,,,
175,Real Madrid,24,26.4,56.2,38,418,"3,420",38.0,116,91,105,11,13,0,0,3.05,2.39,5.45,2.76,5.16,,,,,,,,,
176,Real Sociedad,25,26.5,49.8,38,418,"3,420",38.0,41,35,38,3,3,0,0,1.08,0.92,2.00,1.00,1.92,,,,,,,,,
177,Sevilla,26,26.2,50.3,38,418,"3,420",38.0,68,45,60,8,10,0,0,1.79,1.18,2.97,1.58,2.76,,,,,,,,,
178,Valencia,24,24.8,50.0,38,418,"3,420",38.0,66,48,61,5,7,0,0,1.74,1.26,3.00,1.61,2.87,,,,,,,,,
179,Villarreal,28,25.0,48.6,38,418,"3,420",38.0,48,34,46,2,2,0,0,1.26,0.89,2.16,1.21,2.11,,,,,,,,,
180,Almería,28,27.5,,38,418,,,43,28,35,8,8,0,0,1.13,0.74,1.87,0.92,1.66,,,,,,,,,
181,Athletic Club,24,26.4,,38,418,,,65,46,61,4,7,0,0,1.71,1.21,2.92,1.61,2.82,,,,,,,,,
182,Atlético Madrid,25,26.9,,38,418,,,74,55,68,6,10,0,0,1.95,1.45,3.39,1.79,3.24,,,,,,,,,
183,Barcelona,25,27.4,,38,418,,,96,71,85,11,13,0,0,2.53,1.87,4.39,2.24,4.11,,,,,,,,,
184,Betis,33,26.6,,38,418,,,35,21,34,1,4,0,0,0.92,0.55,1.47,0.89,1.45,,,,,,,,,
185,Celta Vigo,26,25.0,,38,418,,,47,32,45,2,3,0,0,1.24,0.84,2.08,1.18,2.03,,,,,,,,,
186,Elche,28,27.2,,38,418,,,30,22,26,4,6,0,0,0.79,0.58,1.37,0.68,1.26,,,,,,,,,
187,Espanyol,24,26.7,,38,418,,,40,30,35,5,6,0,0,1.05,0.79,1.84,0.92,1.71,,,,,,,,,
188,Getafe,28,27.7,,38,418,,,34,30,32,2,3,0,0,0.89,0.79,1.68,0.84,1.63,,,,,,,,,
189,Granada,26,26.3,,38,418,,,31,22,28,3,6,0,0,0.82,0.58,1.39,0.74,1.32,,,,,,,,,
190,Levante,28,28.9,,38,418,,,33,19,29,4,8,0,0,0.87,0.50,1.37,0.76,1.26,,,,,,,,,
191,Málaga,28,27.0,,38,418,,,39,30,37,2,3,0,0,1.03,0.79,1.82,0.97,1.76,,,,,,,,,
192,Osasuna,25,28.0,,38,418,,,31,15,31,0,0,0,0,0.82,0.39,1.21,0.82,1.21,,,,,,,,,
193,Rayo Vallecano,30,25.8,,38,418,,,45,30,38,7,9,0,0,1.18,0.79,1.97,1.00,1.79,,,,,,,,,
194,Real Madrid,25,26.4,,38,418,,,103,78,97,6,6,0,0,2.71,2.05,4.76,2.55,4.61,,,,,,,,,
195,Real Sociedad,27,25.8,,38,418,,,59,44,57,2,2,0,0,1.55,1.16,2.71,1.50,2.66,,,,,,,,,
196,Sevilla,31,25.9,,38,418,,,68,47,61,7,10,0,0,1.79,1.24,3.03,1.61,2.84,,,,,,,,,
197,Valencia,31,26.1,,38,418,,,51,35,49,2,3,0,0,1.34,0.92,2.26,1.29,2.21,,,,,,,,,
198,Valladolid,25,27.7,,38,418,,,37,28,36,1,2,0,0,0.97,0.74,1.71,0.95,1.68,,,,,,,,,
199,Villarreal,25,25.2,,38,418,,,58,42,53,5,6,0,0,1.53,1.11,2.63,1.39,2.50,,,,,,,,,
200,Athletic Club,25,25.4,,38,418,,,44,38,43,1,2,120,9,1.16,1.00,2.16,1.13,2.13,,,,,,,,,
201,Atlético Madrid,27,25.9,,38,418,,,63,37,55,8,8,102,5,1.66,0.97,2.63,1.45,2.42,,,,,,,,,
202,Barcelona,25,26.6,,38,418,,,112,91,108,4,5,57,2,2.95,2.39,5.34,2.84,5.24,,,,,,,,,
203,Betis,33,26.8,,38,418,,,55,41,52,3,4,118,7,1.45,1.08,2.53,1.37,2.45,,,,,,,,,
204,Celta Vigo,28,26.9,,38,418,,,37,27,34,3,3,102,4,0.97,0.71,1.68,0.89,1.61,,,,,,,,,
205,Espanyol,25,26.5,,38,418,,,42,32,38,4,4,150,11,1.11,0.84,1.95,1.00,1.84,,,,,,,,,
206,Getafe,27,26.9,,38,418,,,43,31,39,4,4,114,9,1.13,0.82,1.95,1.03,1.84,,,,,,,,,
207,Granada,28,26.9,,38,418,,,35,18,28,7,8,103,5,0.92,0.47,1.39,0.74,1.21,,,,,,,,,
208,La Coruña,28,28.8,,38,418,,,45,26,41,4,6,103,8,1.18,0.68,1.87,1.08,1.76,,,,,,,,,
209,Levante,27,29.2,,38,418,,,39,22,36,3,5,113,7,1.03,0.58,1.61,0.95,1.53,,,,,,,,,
210,Málaga,28,27.9,,38,418,,,52,37,48,4,5,93,6,1.37,0.97,2.34,1.26,2.24,,,,,,,,,
211,Mallorca,29,26.9,,38,418,,,43,23,41,2,3,103,8,1.13,0.61,1.74,1.08,1.68,,,,,,,,,
