Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team
0,Marcos Acuña,ARG,DF,Sevilla,31,1991,10,7,551,6.1,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,16
1,Álvaro Aguado,ESP,MF,Valladolid,26,1996,13,8,747,8.3,0,2,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,18
2,Joseph Aidoo,GHA,DF,Celta Vigo,27,1995,14,14,1260,14.0,1,0,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,6
3,Sergio Akieme,ESP,DF,Almeria,24,1997,14,14,1260,14.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0
4,Paul Akouokou,CIV,MF,Betis,24,1997,6,2,238,2.6,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,4
5,David Alaba,AUT,DF,Real Madrid,30,1992,14,13,1165,12.9,1,3,1,0,0,3,0,0.08,0.23,0.31,0.08,0.31,14
6,Tomás Alarcón,CHI,MF,Cadiz,23,1999,4,2,223,2.5,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,5
7,Jordi Alba,ESP,DF,Barcelona,33,1989,10,7,682,7.6,0,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,3
8,Raúl Albiol,ESP,DF,Villarreal,37,1985,13,13,1159,12.9,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,19
9,Rubén Alcaraz,ESP,MF,Cadiz,31,1991,10,5,513,5.7,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,5
10,Omar Alderete,PAR,DF,Getafe,25,1996,2,1,135,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,9
11,Iván Alejo,ESP,"MF,FW",Cadiz,27,1995,12,8,657,7.3,0,1,0,0,0,5,0,0.0,0.14,0.14,0.0,0.14,5
12,Carles Aleñá,ESP,MF,Getafe,24,1998,13,13,1022,11.4,2,2,2,0,0,6,0,0.18,0.18,0.35,0.18,0.35,9
13,Alejandro Alfaro,ESP,MF,Elche,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7
14,Ángel Algobia,ESP,MF,Getafe,23,1999,8,4,362,4.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,9
15,Mohamed Ali Cho,FRA,FW,Real Sociedad,18,2004,7,2,243,2.7,0,2,0,0,0,1,0,0.0,0.74,0.74,0.0,0.74,15
16,Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,22,2000,11,8,706,7.8,2,2,2,0,0,0,0,0.25,0.25,0.51,0.25,0.51,17
17,Marcos Alonso,ESP,DF,Barcelona,31,1990,7,4,450,5.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3
18,Gastón Álvarez,URU,DF,Getafe,22,2000,7,4,429,4.8,2,0,2,0,0,0,1,0.42,0.0,0.42,0.42,0.42,9
19,Yeray Álvarez,ESP,DF,Athletic Club,27,1995,12,12,1056,11.7,0,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,1
20,Amath,SEN,"MF,FW",Mallorca,26,1996,7,1,243,2.7,1,0,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37,11
21,Jordan Amavi,FRA,DF,Getafe,28,1994,4,1,193,2.1,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,9
22,Fabrizio Angileri,ARG,DF,Getafe,28,1994,8,7,510,5.7,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,9
23,Anuar,MAR,"MF,FW",Valladolid,27,1995,3,3,210,2.3,1,0,1,0,0,1,0,0.43,0.0,0.43,0.43,0.43,18
24,Mauro Arambarri,URU,MF,Getafe,27,1995,6,6,511,5.7,0,1,0,0,0,2,1,0.0,0.18,0.18,0.0,0.18,9
25,Ronald Araújo,URU,DF,Barcelona,23,1999,6,6,510,5.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,3
26,Roberto Arroyo,ESP,MF,Valladolid,19,2003,1,0,15,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
27,Santiago Arzamendia,PAR,"MF,DF",Cadiz,24,1998,4,3,255,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
28,Sergio Asenjo,ESP,GK,Valladolid,33,1989,5,5,450,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
29,Marco Asensio,ESP,"MF,FW",Real Madrid,26,1996,9,1,186,2.1,1,2,1,0,0,0,0,0.48,0.97,1.45,0.48,1.45,14
30,Iago Aspas,ESP,FW,Celta Vigo,35,1987,14,12,1122,12.5,7,2,6,1,2,3,0,0.56,0.16,0.72,0.48,0.64,6
31,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,33,1989,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
32,Ezequiel Ávila,ARG,"FW,MF",Osasuna,28,1994,13,11,838,9.3,6,1,4,2,3,3,1,0.64,0.11,0.75,0.43,0.54,12
33,Iddrisu Baba,GHA,MF,Mallorca,26,1996,11,6,547,6.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,11
34,Srđan Babić,SRB,DF,Almeria,26,1996,13,12,1125,12.5,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0
35,Édgar Badía,ESP,GK,Elche,30,1992,14,14,1260,14.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7
36,Alex Baena,ESP,"MF,FW",Villarreal,21,2001,13,5,630,7.0,4,0,4,0,0,6,1,0.57,0.0,0.57,0.57,0.57,19
37,Alejandro Balde,ESP,DF,Barcelona,19,2003,12,12,968,10.8,0,3,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28,3
38,Mikel Balenziaga,ESP,DF,Athletic Club,34,1988,1,0,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1
39,Iván Balliu,ALB,DF,Rayo Vallecano,30,1992,14,14,1260,14.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,13
40,Léo Baptistão,BRA,"FW,MF",Almeria,30,1992,11,8,564,6.3,2,1,2,0,0,3,0,0.32,0.16,0.48,0.32,0.48,0
41,Keidi Bare,ALB,MF,Espanyol,25,1997,11,3,330,3.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
42,Kike Barja,ESP,"MF,FW",Osasuna,25,1997,7,3,287,3.2,1,0,1,0,0,0,0,0.31,0.0,0.31,0.31,0.31,12
43,Ander Barrenetxea,ESP,FW,Real Sociedad,20,2001,4,0,62,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15
44,Pablo Barrios,ESP,MF,Atletico Madrid,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
45,Rodrigo Battaglia,ARG,MF,Mallorca,31,1991,11,7,592,6.6,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,11
46,Bebé,CPV,FW,Rayo Vallecano,32,1990,4,0,60,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,13
47,Héctor Bellerín,ESP,DF,Barcelona,27,1995,3,1,143,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
48,Fran Beltrán,ESP,MF,Celta Vigo,23,1999,14,13,1123,12.5,0,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,6
49,Karim Benzema,FRA,FW,Real Madrid,34,1987,7,7,627,7.0,5,1,4,1,2,0,0,0.72,0.14,0.86,0.57,0.72,14
50,Yuri Berchiche,ESP,DF,Athletic Club,32,1990,6,5,440,4.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1
51,Álex Berenguer,ESP,FW,Athletic Club,27,1995,13,12,1026,11.4,3,1,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35,1
52,Pedro Bigas,ESP,DF,Elche,32,1990,13,12,969,10.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,7
53,El Bilal Touré,MLI,FW,Almeria,21,2001,8,7,568,6.3,3,1,3,0,0,0,0,0.48,0.16,0.63,0.48,0.63,0
54,Blanco,ESP,MF,Cadiz,22,2000,3,2,158,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
55,Theo Bongonda,COD,MF,Cadiz,26,1995,9,5,446,5.0,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,5
56,Wassim Boullif,ESP,"DF,MF",Espanyol,17,2005,3,0,69,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
57,Yassine Bounou,MAR,GK,Sevilla,31,1991,12,12,1035,11.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16
58,Lucas Boyé,ARG,FW,Elche,26,1996,12,9,730,8.1,1,2,1,0,1,2,1,0.12,0.25,0.37,0.12,0.37,7
59,Martin Braithwaite,DEN,"FW,MF",Espanyol,31,1991,9,9,699,7.8,3,1,3,0,0,2,1,0.39,0.13,0.52,0.39,0.52,8
60,Juan Brandáriz,ESP,DF,Almeria,23,1999,7,4,388,4.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0
61,Darko Brašanac,SRB,MF,Osasuna,30,1992,12,4,485,5.4,1,1,1,0,0,3,0,0.19,0.19,0.37,0.19,0.37,12
62,Claudio Bravo,CHI,GK,Betis,39,1983,2,2,180,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,4
63,Ante Budimir,CRO,FW,Osasuna,31,1991,11,7,554,6.2,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,12
64,Santiago Bueno,URU,DF,Girona,24,1998,14,14,1260,14.0,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,10
65,Sergio Busquets,ESP,MF,Barcelona,34,1988,12,11,906,10.1,0,1,0,0,0,6,1,0.0,0.1,0.1,0.0,0.1,3
66,Leandro Cabrera,URU,DF,Espanyol,31,1991,13,13,1107,12.3,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,8
67,Cala,ESP,DF,Cadiz,32,1989,3,1,137,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
68,Fernando Calero,ESP,DF,Espanyol,27,1995,12,10,873,9.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,8
69,Eduardo Camavinga,FRA,MF,Real Madrid,20,2002,14,5,511,5.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,14
70,Sergio Camello,ESP,FW,Rayo Vallecano,21,2001,14,11,934,10.4,2,2,2,0,0,0,0,0.19,0.19,0.39,0.19,0.39,13
71,Sergio Canales,ESP,"MF,FW",Betis,31,1991,11,9,856,9.5,1,0,1,0,0,4,1,0.11,0.0,0.11,0.11,0.11,4
72,Ander Capa,ESP,FW,Athletic Club,30,1992,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1
73,Étienne Capoue,FRA,MF,Villarreal,34,1988,10,10,836,9.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,19
74,Isaac Carcelen,ESP,DF,Cadiz,29,1993,7,5,452,5.0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,5
75,Juan Carlos,ESP,GK,Girona,34,1988,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10
76,José Carlos Lazo,ESP,"MF,FW",Almeria,26,1996,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
77,José Carlos Lazo,ESP,"MF,FW",Espanyol,26,1996,7,0,117,1.3,1,0,1,0,0,0,0,0.77,0.0,0.77,0.77,0.77,8
78,Carmona,ESP,DF,Sevilla,20,2002,9,4,442,4.9,2,1,2,0,0,4,0,0.41,0.2,0.61,0.41,0.61,16
79,Yannick Carrasco,BEL,"DF,FW",Atletico Madrid,29,1993,13,8,739,8.2,1,0,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,2
80,Dani Carvajal,ESP,DF,Real Madrid,30,1992,12,10,872,9.7,0,1,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1,14
81,William Carvalho,POR,MF,Betis,30,1992,13,12,926,10.3,2,1,2,0,0,3,0,0.19,0.1,0.29,0.19,0.29,4
82,Casals,ESP,MF,Girona,17,2005,2,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10
83,Casemiro,BRA,MF,Real Madrid,30,1992,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14
84,Valentín Castellanos,ARG,FW,Girona,24,1998,14,14,1112,12.4,3,0,3,0,0,4,0,0.24,0.0,0.24,0.24,0.24,10
85,Samu Castillejo,ESP,FW,Valencia,27,1995,10,8,612,6.8,2,0,2,0,0,4,0,0.29,0.0,0.29,0.29,0.29,17
86,Catena,ESP,DF,Rayo Vallecano,28,1994,14,14,1260,14.0,1,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,13
87,Edinson Cavani,URU,FW,Valencia,35,1987,7,7,430,4.8,4,1,2,2,3,0,0,0.84,0.21,1.05,0.42,0.63,17
88,Dani Ceballos,ESP,MF,Real Madrid,26,1996,8,2,178,2.0,0,1,0,0,0,1,0,0.0,0.51,0.51,0.0,0.51,14
89,Franco Cervi,ARG,MF,Celta Vigo,28,1994,13,12,1017,11.3,0,2,0,0,0,0,1,0.0,0.18,0.18,0.0,0.18,6
90,Pep Chavarría,ESP,"FW,DF",Rayo Vallecano,24,1998,5,0,66,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,13
91,Andreas Christensen,DEN,DF,Barcelona,26,1996,5,4,318,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3
92,Samuel Chukwueze,NGA,"FW,MF",Villarreal,23,1999,13,5,538,6.0,0,1,0,0,0,1,0,0.0,0.17,0.17,0.0,0.17,19
93,Víctor Chust,ESP,DF,Cadiz,22,2000,11,9,851,9.5,1,0,1,0,0,3,0,0.11,0.0,0.11,0.11,0.11,5
94,Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,28,1994,13,6,643,7.1,1,0,1,0,0,3,0,0.14,0.0,0.14,0.14,0.14,13
95,Carlos Clerc,ESP,DF,Elche,30,1992,10,10,862,9.6,0,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,7
96,Álex Collado,ESP,"MF,FW",Elche,23,1999,8,8,514,5.7,1,1,1,0,0,0,0,0.18,0.18,0.35,0.18,0.35,7
97,Eray Cömert,SUI,DF,Valencia,24,1998,11,10,871,9.7,1,0,1,0,0,3,1,0.1,0.0,0.1,0.1,0.1,17
98,Santi Comesaña,ESP,MF,Rayo Vallecano,26,1996,12,8,728,8.1,1,0,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,13
99,Copete,ESP,DF,Mallorca,23,1999,12,12,997,11.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,11
100,Francis Coquelin,FRA,MF,Villarreal,31,1991,11,6,523,5.8,1,0,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,19
101,Jesús Corona,MEX,FW,Sevilla,29,1993,1,1,62,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16
102,Ángel Correa,ARG,"FW,MF",Atletico Madrid,27,1995,14,4,513,5.7,3,0,3,0,0,1,0,0.53,0.0,0.53,0.53,0.53,2
103,Thierry Correia,POR,DF,Valencia,23,1999,14,14,1211,13.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,17
104,Jaume Costa,ESP,DF,Mallorca,34,1988,11,11,964,10.7,0,1,0,0,0,4,0,0.0,0.09,0.09,0.0,0.09,11
105,Samu Costa,POR,MF,Almeria,21,2000,11,8,768,8.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0
106,Thibaut Courtois,BEL,GK,Real Madrid,30,1992,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14
107,Yan Couto,BRA,"DF,FW",Girona,20,2002,10,5,506,5.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,10
108,Juan Cruz Armada,ESP,DF,Osasuna,30,1992,13,11,1006,11.2,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,12
109,Juan Cruz,ESP,FW,Betis,22,2000,5,1,174,1.9,1,0,1,0,0,0,0,0.52,0.0,0.52,0.52,0.52,4
110,Jorge Cuenca,ESP,DF,Villarreal,22,1999,2,1,95,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19
111,Braian Cufré,ARG,DF,Mallorca,25,1996,3,2,194,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,11
112,Matheus Cunha,BRA,"FW,MF",Atletico Madrid,23,1999,11,2,377,4.2,0,2,0,0,0,2,0,0.0,0.48,0.48,0.0,0.48,2
113,Curro,ESP,MF,Almeria,26,1996,2,0,43,0.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0
114,Sergi Darder,ESP,MF,Espanyol,28,1993,14,14,1233,13.7,2,1,2,0,0,2,0,0.15,0.07,0.22,0.15,0.22,8
115,Rodrigo De Paul,ARG,MF,Atletico Madrid,28,1994,12,9,670,7.4,1,1,1,0,0,2,0,0.13,0.13,0.27,0.13,0.27,2
116,Alberto Del Moral,ESP,MF,Villarreal,22,2000,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19
117,Thomas Delaney,DEN,MF,Sevilla,31,1991,8,2,309,3.4,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,16
118,Fran Delgado,ESP,DF,Betis,21,2001,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
119,Ousmane Dembélé,FRA,FW,Barcelona,25,1997,14,11,866,9.6,4,5,4,0,0,3,0,0.42,0.52,0.94,0.42,0.94,3
120,Memphis Depay,NED,FW,Barcelona,28,1994,2,2,114,1.3,1,0,1,0,0,0,0,0.79,0.0,0.79,0.79,0.79,3
121,Mouctar Diakhaby,GUI,DF,Valencia,25,1996,10,10,791,8.8,2,0,2,0,0,5,1,0.23,0.0,0.23,0.23,0.23,17
122,Mamady Diarra,MLI,"MF,DF",Cadiz,22,2000,2,1,66,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
123,Stole Dimitrievski,MKD,GK,Rayo Vallecano,28,1993,13,13,1170,13.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,13
124,Malcom Abdulai Ares Djalo,ESP,FW,Athletic Club,21,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1
125,Djené,TOG,DF,Getafe,30,1991,12,12,1002,11.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,9
126,Marko Dmitrović,SRB,GK,Sevilla,30,1992,3,2,225,2.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16
127,Kasper Dolberg,DEN,FW,Sevilla,25,1997,4,2,197,2.2,0,1,0,0,0,0,0,0.0,0.46,0.46,0.0,0.46,16
128,Carlos Dominguez,ESP,MF,Celta Vigo,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6
129,John Donald,ESP,DF,Elche,22,2000,3,2,150,1.7,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,7
130,Domingos Duarte,POR,DF,Getafe,27,1995,13,13,1125,12.5,0,2,0,0,0,5,0,0.0,0.16,0.16,0.0,0.16,9
131,Pablo Durán,ESP,"MF,DF",Celta Vigo,21,2001,3,0,29,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6
132,Hugo Duro,ESP,FW,Valencia,23,1999,10,4,391,4.3,1,0,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,17
133,Íñigo Eguaras,ESP,MF,Almeria,30,1992,11,6,495,5.5,1,1,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36,0
134,Aritz Elustondo,ESP,DF,Real Sociedad,28,1994,11,7,618,6.9,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,15
135,Rodrigo Ely,BRA,DF,Almeria,29,1993,14,14,1233,13.7,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0
136,Adri Embarba,ESP,"FW,MF",Almeria,30,1992,9,5,423,4.7,1,3,1,0,0,4,1,0.21,0.64,0.85,0.21,0.85,0
137,Adri Embarba,ESP,FW,Espanyol,30,1992,1,0,35,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
138,Youssef En-Nesyri,MAR,"FW,MF",Sevilla,25,1997,10,2,362,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,16
139,Sergio Escudero,ESP,DF,Valladolid,33,1989,9,9,709,7.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,18
140,Alfonso Espino,URU,DF,Cadiz,30,1992,14,13,1142,12.7,0,3,0,0,0,3,0,0.0,0.24,0.24,0.0,0.24,5
141,Bernardo Espinosa,COL,DF,Girona,33,1989,8,6,499,5.5,0,1,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,10
142,Edu Expósito,ESP,MF,Espanyol,26,1996,13,10,772,8.6,2,2,2,0,0,0,0,0.23,0.23,0.47,0.23,0.47,8
143,Nicolás Ezequiel Fernández,ARG,"MF,DF",Elche,22,2000,8,2,294,3.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7
144,Abdessamad Ezzalzouli,MAR,"MF,FW",Osasuna,20,2001,8,4,313,3.5,0,2,0,0,0,1,0,0.0,0.58,0.58,0.0,0.58,12
145,Radamel Falcao,COL,"FW,MF",Rayo Vallecano,36,1986,12,3,404,4.5,2,0,1,1,1,2,0,0.45,0.0,0.45,0.22,0.22,13
146,Fali,ESP,"DF,MF",Cadiz,29,1993,8,7,556,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,5
147,Ansu Fati,ESP,FW,Barcelona,20,2002,14,3,469,5.2,3,3,3,0,0,0,0,0.58,0.58,1.15,0.58,1.15,3
148,Zouhair Feddal,MAR,DF,Valladolid,33,1989,7,4,349,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,18
149,Nabil Fekir,FRA,"MF,FW",Betis,29,1993,8,6,426,4.7,1,1,1,0,0,4,1,0.21,0.21,0.42,0.21,0.42,4
150,Felipe,BRA,DF,Atletico Madrid,33,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
151,Luiz Felipe,ITA,DF,Betis,25,1997,7,6,414,4.6,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,4
152,João Félix,POR,FW,Atletico Madrid,23,1999,12,5,513,5.7,3,3,3,0,0,5,0,0.53,0.53,1.05,0.53,1.05,2
153,Kiko Femenía,ESP,DF,Villarreal,31,1991,11,9,847,9.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19
154,Aitor Fernández,ESP,GK,Osasuna,31,1991,4,4,360,4.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,12
155,Álex Fernández,ESP,"MF,FW",Cadiz,30,1992,12,8,699,7.8,2,0,2,0,0,0,0,0.26,0.0,0.26,0.26,0.26,5
156,Álvaro Fernández,ESP,GK,Espanyol,24,1998,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
157,Carlos Fernández,ESP,FW,Real Sociedad,26,1996,7,4,232,2.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,15
158,Federico Fernández,ARG,DF,Elche,33,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7
159,Joaquín Fernández,ESP,DF,Valladolid,26,1996,12,10,955,10.6,1,0,1,0,0,2,0,0.09,0.0,0.09,0.09,0.09,18
160,Fernando,ESP,GK,Almeria,32,1990,13,13,1170,13.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0
161,Fernando,BRA,"MF,DF",Sevilla,35,1987,6,6,495,5.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,16
162,Fidel,ESP,"MF,FW",Elche,33,1989,4,2,165,1.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,7
163,Dimitri Foulquier,FRA,"DF,MF",Valencia,29,1993,9,2,287,3.2,0,1,0,0,0,2,0,0.0,0.31,0.31,0.0,0.31,17
164,Juan Foyth,ARG,DF,Villarreal,24,1998,4,3,248,2.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,19
165,Iván Fresneda,ESP,DF,Valladolid,18,2004,6,4,468,5.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18
166,Javi Galán,ESP,DF,Celta Vigo,27,1994,14,14,1255,13.9,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,6
167,Iñigo Ruiz de Galarreta,ESP,MF,Mallorca,29,1993,12,10,854,9.5,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,11
168,Aleix García,ESP,MF,Girona,25,1997,14,14,1245,13.8,0,3,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22,10
169,Álvaro García,ESP,FW,Rayo Vallecano,30,1992,13,13,1095,12.2,3,1,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,13
170,Dani García,ESP,MF,Athletic Club,32,1990,8,4,363,4.0,0,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,1
171,David García,ESP,DF,Osasuna,28,1994,12,12,1039,11.5,1,0,1,0,0,6,1,0.09,0.0,0.09,0.09,0.09,12
172,Eric García,ESP,DF,Barcelona,21,2001,9,8,608,6.8,1,0,1,0,0,2,0,0.15,0.0,0.15,0.15,0.15,3
