Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team
696,Cristo González,ESP,"FW,MF",Sporting Gijon,25,1997,13,9,688,7.6,4,0,4,0,0,2,0,0.52,0.0,0.52,0.52,0.52,37
697,Daniel González,ESP,FW,Albacete,20,2002,3,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
698,Fabio González,ESP,MF,Las Palmas,25,1997,11,3,396,4.4,0,1,0,0,0,2,0,0.0,0.23,0.23,0.0,0.23,29
699,Roberto González,ESP,MF,Alaves,21,2001,9,2,301,3.3,0,1,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,20
700,Rubén González,ESP,DF,Racing Sant,28,1994,14,13,1197,13.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,36
701,Sergio González,ESP,"DF,MF",Tenerife,25,1997,5,4,371,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,38
702,José Gragera,ESP,MF,Sporting Gijon,21,2000,10,7,706,7.8,2,0,2,0,0,1,0,0.25,0.0,0.25,0.25,0.25,37
703,Jaume Grau,ESP,MF,Zaragoza,25,1997,14,14,1164,12.9,1,0,1,0,0,5,1,0.08,0.0,0.08,0.08,0.08,41
704,Francisco Grimà Aguilera,ESP,DF,UD Ibiza,35,1987,8,7,625,6.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39
705,Makhtar Gueye,SEN,FW,Zaragoza,24,1997,8,2,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41
706,Jon Guridi,ESP,"MF,FW",Alaves,27,1995,14,12,1084,12.0,0,1,0,0,1,1,0,0.0,0.08,0.08,0.0,0.08,20
707,Cristian Gutierrez,ESP,MF,Malaga,21,2000,6,3,323,3.6,2,0,2,0,0,1,0,0.56,0.0,0.56,0.56,0.56,33
708,Hacen,MTN,"FW,MF",Lugo,24,1997,12,4,435,4.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,32
709,Taichi Hara,JPN,FW,Alaves,23,1999,11,2,330,3.7,1,0,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,20
710,Kento Hashimoto,JPN,MF,Huesca,29,1993,14,9,824,9.2,0,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,28
711,Haissem Hassan,FRA,MF,Villarreal B,20,2002,13,5,532,5.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,40
712,Juan Hernández,ESP,FW,Burgos,27,1994,6,1,137,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23
713,Juan Hernández,ESP,MF,Ponferradina,27,1994,2,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35
714,Cristian Herrera,ESP,MF,UD Ibiza,31,1991,12,12,1008,11.2,3,0,3,0,0,3,0,0.27,0.0,0.27,0.27,0.27,39
715,Alfonso Herrero,ESP,GK,CD Mirandes,28,1994,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25
716,Pablo Hervías,ESP,MF,Malaga,29,1993,9,5,368,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,33
717,Hector Hevel,NED,"MF,FW",Andorra,26,1996,14,9,936,10.4,1,2,1,0,0,4,0,0.1,0.19,0.29,0.1,0.29,22
718,Robert Ibáñez,ESP,"MF,FW",Levante,29,1993,8,4,332,3.7,1,0,1,0,0,1,0,0.27,0.0,0.27,0.27,0.27,31
719,Juan Ibiza,ESP,DF,UD Ibiza,27,1995,9,8,731,8.1,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,39
720,Vicente Iborra,ESP,MF,Levante,34,1988,15,12,1128,12.5,1,0,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,31
721,Ibra,ESP,MF,Tenerife,20,2002,1,0,20,0.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,38
722,Imanol,ESP,DF,Eibar,22,2000,14,13,1114,12.4,0,2,0,0,0,1,0,0.0,0.16,0.16,0.0,0.16,26
723,Pablo Íñiguez,ESP,DF,Villarreal B,28,1994,2,2,180,2.0,2,0,2,0,0,0,0,1.0,0.0,1.0,1.0,1.0,40
724,Pablo Insua,ESP,DF,Sporting Gijon,29,1993,14,14,1210,13.4,1,1,1,0,0,5,0,0.07,0.07,0.15,0.07,0.15,37
725,Nikita Iosifov,RUS,MF,Villarreal B,21,2001,7,2,172,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40
726,Jairo Izquierdo,ESP,"MF,DF",Cartagena,29,1993,14,11,997,11.1,0,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,24
727,Carlos Izquierdoz,ARG,DF,Sporting Gijon,34,1988,14,13,1156,12.8,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,37
728,Ayoub Jabbari,MAR,FW,Racing Sant,22,2000,3,0,19,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
729,Jacobo,ESP,FW,Andorra,25,1997,7,2,216,2.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22
730,Isak Jansson,SWE,"FW,MF",Cartagena,20,2002,11,5,476,5.3,1,0,1,0,0,1,0,0.19,0.0,0.19,0.19,0.19,24
731,Jason,ESP,MF,Alaves,28,1994,8,4,397,4.4,1,0,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23,20
732,Álvaro Jiménez,ESP,MF,Las Palmas,27,1995,10,9,635,7.1,2,0,2,0,0,1,0,0.28,0.0,0.28,0.28,0.28,29
733,Dani Jiménez,ESP,GK,Leganes,32,1990,8,8,691,7.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,30
734,Javier Jiménez,ESP,DF,Malaga,26,1996,13,13,1167,13.0,1,0,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,33
735,Jofre,ESP,FW,CD Mirandes,21,2001,6,1,148,1.6,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,25
736,Jony,ESP,MF,Sporting Gijon,31,1991,7,1,193,2.1,1,0,1,0,0,0,0,0.47,0.0,0.47,0.47,0.47,37
737,Filip Jörgensen,DEN,GK,Villarreal B,20,2002,8,8,720,8.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,40
738,Josema,ESP,DF,Leganes,26,1996,10,8,596,6.6,0,1,0,0,0,1,0,0.0,0.15,0.15,0.0,0.15,30
739,Jozabed,ESP,MF,Malaga,31,1991,10,4,404,4.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
740,Miguel Juan Llambrich,ESP,DF,Oviedo,26,1996,3,1,121,1.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,34
741,Juande,ESP,DF,Malaga,23,1999,8,6,569,6.3,1,0,1,0,0,1,0,0.16,0.0,0.16,0.16,0.16,33
742,Juanfran,ESP,DF,Malaga,34,1988,14,12,1107,12.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,33
743,Juanlu,ESP,"MF,FW",CD Mirandes,19,2003,11,7,602,6.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25
744,José Jurado,ESP,MF,Tenerife,30,1992,9,6,539,6.0,1,0,1,0,0,4,0,0.17,0.0,0.17,0.17,0.17,38
745,Aboubakary Kanté,GAM,FW,Huesca,28,1994,14,5,515,5.7,2,0,2,0,0,2,0,0.35,0.0,0.35,0.35,0.35,28
746,Andy Kawaya,BEL,MF,Albacete,26,1996,3,0,22,0.2,1,0,1,0,0,0,0,4.09,0.0,4.09,4.09,4.09,21
747,Koba Koindredi,FRA,MF,Oviedo,21,2001,5,3,316,3.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34
748,Vasyl Kravets,UKR,DF,Leganes,25,1997,2,1,106,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,30
749,Kuki,ESP,FW,Ponferradina,24,1998,2,0,50,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35
750,Adrián de la Fuente,ESP,DF,Villarreal B,23,1999,13,13,1162,12.9,1,0,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,40
751,Derik Lacerda,BRA,"FW,MF",Ponferradina,23,1999,14,10,918,10.2,2,2,2,0,0,3,0,0.2,0.2,0.39,0.2,0.39,35
752,Víctor Laguardia,ESP,DF,Alaves,33,1989,2,0,46,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20
753,Larra,ESP,"DF,MF",Zaragoza,24,1997,14,4,510,5.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41
754,Pablo Larrea,ESP,MF,Tenerife,28,1994,8,4,414,4.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,38
755,Daniel Lasure,ESP,DF,Zaragoza,28,1994,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41
756,Orest Lebedenko,UKR,DF,Lugo,24,1998,5,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,32
757,Juanpe Lele,ESP,MF,Lugo,26,1996,14,8,796,8.8,1,0,0,1,1,3,0,0.11,0.0,0.11,0.0,0.0,32
758,Álvaro Lemos,ESP,"MF,DF",Las Palmas,29,1993,12,3,536,6.0,1,0,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,29
759,José León Bernal,ESP,DF,Tenerife,27,1995,12,9,865,9.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,38
760,Raúl Lizoain,ESP,GK,Andorra,31,1991,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22
761,Enzo Loiodice,FRA,MF,Las Palmas,21,2000,14,14,1115,12.4,1,0,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,29
762,Andoni López,ESP,DF,Tenerife,26,1996,2,1,67,0.7,0,1,0,0,0,0,0,0.0,1.34,1.34,0.0,1.34,38
763,Javi López,ESP,DF,Alaves,20,2002,11,6,512,5.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,20
764,Javi López,ESP,MF,Burgos,21,2001,2,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,23
765,Lluis López,ESP,DF,Zaragoza,25,1997,12,12,1052,11.7,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,41
766,Roberto López,ESP,"MF,FW",CD Mirandes,22,2000,13,9,787,8.7,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,25
767,Dani Lorenzo,ESP,MF,Malaga,19,2003,4,1,96,1.1,1,0,1,0,0,1,0,0.94,0.0,0.94,0.94,0.94,33
768,Miguel Loureiro,ESP,DF,Lugo,25,1996,15,12,1108,12.3,0,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,32
769,Neyder Lozano,COL,DF,Lugo,28,1994,9,9,717,8.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,32
770,Sergio Lozano,ESP,"MF,FW",Villarreal B,23,1999,6,6,508,5.6,3,4,2,1,1,4,1,0.53,0.71,1.24,0.35,1.06,40
771,Oier Luengo,ESP,DF,Oviedo,25,1997,5,4,365,4.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,34
772,Luismi,ESP,MF,Oviedo,30,1992,10,10,860,9.6,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,34
773,Jordan Lukaku,BEL,DF,Ponferradina,28,1994,7,4,319,3.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,35
774,Marcos Luna,ESP,DF,Zaragoza,19,2003,2,0,29,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41
775,Sergi Maestre,ESP,MF,Albacete,31,1990,11,2,280,3.1,0,1,0,0,0,0,0,0.0,0.32,0.32,0.0,0.32,21
776,Abdallahi Mahmoud,MTN,MF,Alaves,22,2000,3,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20
777,Giorgi Makaridze,GEO,GK,Ponferradina,32,1990,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,35
778,Mantilla,ESP,DF,Racing Sant,22,2000,4,4,315,3.5,0,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,36
779,Nikola Maraš,SRB,DF,Alaves,26,1995,13,11,1020,11.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,20
780,José Marí,ESP,DF,Cartagena,21,2001,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24
781,Juan María,ESP,DF,Albacete,21,2001,7,3,239,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
782,Higinio Marín,ESP,FW,Albacete,29,1993,13,10,894,9.9,3,0,3,0,0,3,0,0.3,0.0,0.3,0.3,0.3,21
783,Diego Mariño,ESP,GK,Sporting Gijon,32,1990,15,15,1350,15.0,0,1,0,0,0,0,0,0.0,0.07,0.07,0.0,0.07,37
784,Mika Màrmol,ESP,DF,Andorra,21,2001,11,11,884,9.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,22
785,Álex Martín,ESP,DF,CD Mirandes,24,1998,13,13,1091,12.1,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,25
786,Nacho Martin,ESP,MF,Sporting Gijon,20,2002,3,0,55,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37
787,Carlos Martínez,ESP,FW,Andorra,36,1986,13,7,605,6.7,4,0,4,0,0,0,1,0.6,0.0,0.6,0.6,0.6,22
788,Javi Martínez,ESP,MF,Albacete,22,1999,7,1,145,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21
789,Marc Martínez,ESP,GK,Cartagena,32,1990,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24
790,Pablo Martínez,ESP,MF,Levante,24,1998,11,3,315,3.5,1,0,1,0,0,0,1,0.29,0.0,0.29,0.29,0.29,31
791,Rubén Martínez,ESP,MF,Albacete,32,1989,10,4,381,4.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
792,Marvin,ESP,"MF,DF",Las Palmas,22,2000,4,2,128,1.4,1,0,1,0,0,0,0,0.7,0.0,0.7,0.7,0.7,29
793,Marc Mateu,ESP,MF,Huesca,32,1990,14,13,1102,12.2,2,2,1,1,1,1,0,0.16,0.16,0.33,0.08,0.25,28
794,Jose Matos,ESP,DF,Burgos,27,1995,6,5,450,5.0,0,3,0,0,0,0,0,0.0,0.6,0.6,0.0,0.6,23
795,Jordi Mboula,ESP,MF,Racing Sant,23,1999,13,11,875,9.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
796,Agus Medina,ESP,MF,Ponferradina,28,1994,10,7,647,7.2,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,35
797,Unai Medina,ESP,DF,Racing Sant,32,1990,5,3,274,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,36
798,Pedro Alejandro García Mejías,ESP,MF,Las Palmas,19,2003,2,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,29
799,Óscar Melendo,ESP,MF,Granada,25,1997,10,6,555,6.2,0,2,0,0,0,0,0,0.0,0.32,0.32,0.0,0.32,27
800,Gonzalo Melero,ESP,MF,Levante,28,1994,2,2,138,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,31
801,Jérémy Mellot,FRA,DF,Tenerife,28,1994,15,13,1214,13.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,38
802,Nacho Méndez,ESP,MF,Sporting Gijon,24,1998,3,1,80,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37
803,Maikel Mesa,ESP,MF,Albacete,31,1991,14,14,1031,11.5,3,1,0,3,3,1,1,0.26,0.09,0.35,0.0,0.09,21
804,Víctor Meseguer,ESP,MF,Granada,23,1999,8,5,416,4.6,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,27
805,Omenuke Mfulu,COD,MF,Las Palmas,28,1994,14,13,1168,13.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,29
806,Nikolaos Michelis,GRE,DF,CD Mirandes,21,2001,6,6,540,6.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,25
807,Javier Mier,ESP,"MF,FW",Oviedo,23,1999,10,4,367,4.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,34
808,Miguel,ESP,DF,Villarreal B,25,1997,13,11,945,10.5,1,2,1,0,0,3,0,0.1,0.19,0.29,0.1,0.29,40
809,Miguel,ESP,FW,Alaves,23,1999,15,13,1016,11.3,4,1,4,0,0,2,0,0.35,0.09,0.44,0.35,0.44,20
810,Florian Miguel,FRA,DF,Huesca,26,1996,11,11,941,10.5,0,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,28
811,Miki,ESP,MF,UD Ibiza,26,1996,10,3,353,3.9,1,0,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,39
812,Uroš Milovanović,SRB,FW,Sporting Gijon,22,2000,4,0,94,1.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,37
813,Ignasi Miquel,ESP,DF,Granada,30,1992,8,6,481,5.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,27
814,Jorge Miramón,ESP,"DF,MF",Leganes,33,1989,15,15,1344,14.9,0,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,30
815,Dauda Mohammed,GHA,MF,Tenerife,24,1998,10,8,590,6.6,1,0,1,0,0,2,0,0.15,0.0,0.15,0.15,0.15,38
816,Alberto Moleiro,ESP,MF,Las Palmas,19,2003,14,9,810,9.0,0,3,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,29
817,Arturo Molina,ESP,MF,Racing Sant,26,1996,10,4,405,4.5,1,0,1,0,0,2,0,0.22,0.0,0.22,0.22,0.22,36
818,Jorge Molina,ESP,"FW,MF",Granada,40,1982,13,4,494,5.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,27
819,Manu Molina,ESP,MF,Zaragoza,30,1991,15,12,1038,11.5,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,41
820,Sergio Molina,ESP,MF,Andorra,26,1996,12,9,767,8.5,1,0,1,0,0,2,0,0.12,0.0,0.12,0.12,0.12,22
821,Victor Mollejo,ESP,"MF,FW",Zaragoza,21,2001,14,7,685,7.6,1,2,1,0,0,3,0,0.13,0.26,0.39,0.13,0.39,41
822,Joni Montiel,ESP,"MF,FW",Levante,24,1998,15,12,1001,11.1,2,2,1,1,1,3,0,0.18,0.18,0.36,0.09,0.27,31
823,Ángel Montoro,ESP,MF,Oviedo,34,1988,15,11,1033,11.5,1,1,1,0,0,5,0,0.09,0.09,0.17,0.09,0.17,34
824,Ivan Monzón,ESP,FW,Zaragoza,19,2002,6,3,269,3.0,1,1,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,41
825,Wesley Moraes,BRA,FW,Levante,25,1996,13,8,717,8.0,0,1,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,31
826,Erik Morán,ESP,MF,Ponferradina,31,1991,11,8,663,7.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,35
827,Iván Morante,ESP,MF,UD Ibiza,21,2001,13,12,947,10.5,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,39
828,Pol Moreno,ESP,DF,Racing Sant,28,1994,15,15,1350,15.0,1,0,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,36
829,Dani Morer,ESP,DF,Andorra,24,1998,5,4,361,4.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,22
830,Mohamed Moukhliss,ESP,MF,Andorra,22,2000,4,2,173,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22
831,Toni Moya,ESP,MF,Alaves,24,1998,15,5,629,7.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,20
832,Sebas Moyano,ESP,"MF,FW",Lugo,25,1997,14,9,833,9.3,1,0,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11,32
833,Samuel Mráz,SVK,FW,CD Mirandes,25,1997,10,1,202,2.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25
834,Mumo,ESP,MF,Burgos,27,1995,15,6,668,7.4,2,0,2,0,0,3,0,0.27,0.0,0.27,0.27,0.27,23
835,Álex Muñoz,ESP,DF,Levante,28,1994,10,8,755,8.4,0,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,31
836,Javier Muñoz,ESP,MF,Eibar,27,1995,13,9,858,9.5,0,2,0,0,0,4,2,0.0,0.21,0.21,0.0,0.21,26
837,Joaquín Muñoz,ESP,MF,Huesca,23,1999,1,0,30,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28
838,Juan Muñoz,ESP,FW,Leganes,27,1995,15,8,688,7.6,3,0,3,0,0,3,0,0.39,0.0,0.39,0.39,0.39,30
839,Luis Muñoz,ESP,MF,Malaga,25,1997,8,5,396,4.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,33
840,Diego Murillo,ESP,DF,Malaga,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
841,Charly Musonda Jr.,BEL,MF,Levante,26,1996,4,0,61,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,31
842,Shkodran Mustafi,GER,DF,Levante,30,1992,2,1,29,0.3,1,0,1,0,0,0,0,3.1,0.0,3.1,3.1,3.1,31
843,Damián Musto,ARG,MF,Cartagena,35,1987,12,11,886,9.8,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,24
844,Alfred N'Diaye,SEN,MF,Malaga,32,1990,11,10,904,10.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,33
845,Nacho,ESP,DF,Tenerife,33,1989,14,12,1109,12.3,1,2,1,0,0,5,0,0.08,0.16,0.24,0.08,0.24,38
846,Tomeu Nadal,ESP,GK,Oviedo,33,1989,14,14,1260,14.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,34
847,Naranjo,ESP,"MF,FW",Ponferradina,28,1994,15,12,1042,11.6,1,2,1,0,0,2,0,0.09,0.17,0.26,0.09,0.26,35
848,Juanjo Narváez,COL,FW,Zaragoza,27,1995,3,2,157,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41
849,Raúl Navarro,ESP,"MF,DF",Burgos,28,1994,12,9,857,9.5,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,23
850,Raúl Navas,ESP,DF,CD Mirandes,34,1988,11,11,990,11.0,0,2,0,0,0,4,0,0.0,0.18,0.18,0.0,0.18,25
851,Neeskens,ESP,FW,Cartagena,20,2001,3,0,18,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24
852,Carlos Neva,ESP,DF,Granada,26,1996,3,2,160,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27
853,Yvan Neyou,CMR,MF,Leganes,25,1997,4,0,54,0.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,30
854,Carlos Nieto,ESP,"MF,DF",Zaragoza,26,1996,3,2,181,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,41
855,Fernando Niño,ESP,FW,Villarreal B,22,2000,14,13,1018,11.3,2,2,2,0,0,1,0,0.18,0.18,0.35,0.18,0.35,40
856,Peru Nolaskoain,ESP,MF,Eibar,24,1998,6,2,260,2.9,1,0,1,0,0,1,0,0.35,0.0,0.35,0.35,0.35,26
857,Nolito,ESP,"MF,FW",UD Ibiza,36,1986,10,6,505,5.6,1,1,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,39
858,Kelechi Nwakali,NGA,MF,Ponferradina,24,1998,14,13,1170,13.0,1,1,1,0,0,6,0,0.08,0.08,0.15,0.08,0.15,35
859,Allan Nyom,CMR,DF,Leganes,34,1988,13,11,1036,11.5,1,1,1,0,0,5,0,0.09,0.09,0.17,0.09,0.17,30
860,Samuel Obeng,GHA,"FW,MF",Oviedo,25,1997,14,5,524,5.8,1,0,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,34
861,Dani Ojeda,ESP,"MF,FW",Ponferradina,27,1994,13,10,928,10.3,4,0,4,0,0,3,0,0.39,0.0,0.39,0.39,0.39,35
862,Thiago Ojeda,ARG,"MF,FW",Villarreal B,19,2003,11,6,540,6.0,1,0,1,0,0,1,0,0.17,0.0,0.17,0.17,0.17,40
863,Lander Olaetxea,ESP,MF,Albacete,29,1993,14,14,1186,13.2,1,0,1,0,0,6,0,0.08,0.0,0.08,0.08,0.08,21
864,Kiko Olivas,ESP,DF,Cartagena,34,1988,5,5,450,5.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24
865,Víctor Olmo,ESP,DF,Malaga,21,2001,3,1,99,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
866,Kenneth Omeruo,NGA,DF,Leganes,29,1993,8,8,625,6.9,1,0,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,30
867,Cedric Omoigui,NGA,FW,Racing Sant,28,1994,2,0,42,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
868,Kevin Omoruyi,ESP,FW,Huesca,21,2001,2,2,117,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28
869,Kevin Omoruyi,BHU,FW,Huesca,21,2001,6,3,277,3.1,1,1,1,0,0,1,0,0.32,0.32,0.65,0.32,0.65,28
870,Javier Ontiveros,ESP,MF,Villarreal B,25,1997,9,2,309,3.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,40
871,Jandro Orellana,ESP,MF,Andorra,22,2000,10,4,465,5.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,22
